date,league,season,referee,odds_over25,odds_under25,squad,opponent,venue,goals_for,goals_against,ht_goals_for,ht_goals_against,shots,shots_on_target,corners,fouls,yellow_cards,red_cards,opp_shots,opp_shots_on_target,opp_corners,opp_fouls,odds_win,odds_draw,odds_loss,result,shot_accuracy,shot_conversion,opp_shot_accuracy,shot_dominance,corner_dominance,discipline_index,foul_rate,second_half_goals,clean_sheet,implied_win_prob,implied_draw_prob,implied_loss_prob,over25_implied,match_points,rolling_form_5,rolling_goals_5,rolling_conceded_5
,SPA-La Liga,2015-2016,,,,Celta,Espanol,Home,1,0,1,0,16,3,4,13,3,1,6,2,9,23,,,,W,0.1875,0.0625,0.3333333333333333,0.7272727272727273,0.3076923076923077,55,13,0,1,0.35359109538829203,,,0.5052356020942408,3,1.4,1.0,1.8
,SPA-La Liga,2015-2016,,,,Celta,Granada,Away,2,0,2,0,10,4,3,11,2,0,11,1,9,17,,,,W,0.4,0.2,0.09090909090909091,0.47619047619047616,0.25,20,11,0,1,0.35359109538829203,,,0.5052356020942408,3,2.0,1.2,0.8
,SPA-La Liga,2015-2016,,,,Celta,Ath Bilbao,Home,0,1,0,0,7,3,3,11,3,0,13,5,3,11,,,,L,0.42857142857142855,0.0,0.38461538461538464,0.35,0.5,30,11,0,0,0.35359109538829203,,,0.5052356020942408,0,2.0,1.2,0.6
,SPA-La Liga,2015-2016,,,,Celta,Malaga,Away,0,2,0,2,8,1,2,11,2,1,14,4,5,22,,,,L,0.125,0.0,0.2857142857142857,0.36363636363636365,0.2857142857142857,45,11,0,0,0.35359109538829203,,,0.5052356020942408,0,1.4,0.8,0.8
,SPA-La Liga,2015-2016,,,,Celta,Ath Madrid,Home,0,2,0,0,6,1,4,14,2,0,10,3,4,14,,,,L,0.16666666666666666,0.0,0.3,0.375,0.5,20,14,0,0,0.35359109538829203,,,0.5052356020942408,0,1.2,0.6,1.0
,SPA-La Liga,2015-2016,,,,Celta,Levante,Home,4,3,2,0,14,6,6,14,1,0,17,7,2,16,,,,W,0.42857142857142855,0.2857142857142857,0.4117647058823529,0.45161290322580644,0.75,10,14,2,0,0.35359109538829203,,,0.5052356020942408,3,1.2,1.2,1.6
,SPA-La Liga,2015-2016,,,,Celta,Vallecano,Away,0,3,0,3,3,1,1,13,5,0,26,10,7,20,,,,L,0.3333333333333333,0.0,0.38461538461538464,0.10344827586206896,0.125,50,13,0,0,0.35359109538829203,,,0.5052356020942408,0,0.6,0.8,2.2
,SPA-La Liga,2015-2016,,,,Celta,Las Palmas,Away,1,2,1,1,5,2,3,18,2,1,13,5,7,13,,,,L,0.4,0.2,0.38461538461538464,0.2777777777777778,0.3,45,18,0,0,0.35359109538829203,,,0.5052356020942408,0,0.6,1.0,2.4
,SPA-La Liga,2015-2016,,,,Celta,Sevilla,Home,1,1,0,1,25,5,10,15,3,0,9,2,5,16,,,,D,0.2,0.04,0.2222222222222222,0.7352941176470589,0.6666666666666666,30,15,1,0,0.35359109538829203,,,0.5052356020942408,1,0.8,1.2,2.2
,SPA-La Liga,2015-2016,,,,Celta,Barcelona,Away,1,6,1,1,10,4,1,16,4,0,19,11,1,10,,,,L,0.4,0.1,0.5789473684210527,0.3448275862068966,0.5,40,16,0,0,0.35359109538829203,,,0.5052356020942408,0,0.8,1.4,3.0
,SPA-La Liga,2015-2016,,,,Celta,Eibar,Home,3,2,2,0,14,9,6,6,3,0,7,3,1,25,,,,W,0.6428571428571429,0.21428571428571427,0.42857142857142855,0.6666666666666666,0.8571428571428571,30,6,1,0,0.35359109538829203,,,0.5052356020942408,3,0.8,1.2,2.8
,SPA-La Liga,2015-2016,,,,Celta,Getafe,Away,1,0,0,0,9,3,5,14,4,0,14,2,4,11,,,,W,0.3333333333333333,0.1111111111111111,0.14285714285714285,0.391304347826087,0.5555555555555556,40,14,1,1,0.35359109538829203,,,0.5052356020942408,3,1.4,1.4,2.2
,SPA-La Liga,2015-2016,,,,Celta,Villarreal,Home,0,0,0,0,11,4,2,9,2,0,6,3,1,2,,,,D,0.36363636363636365,0.0,0.5,0.6470588235294118,0.6666666666666666,20,9,0,1,0.35359109538829203,,,0.5052356020942408,1,1.6,1.2,1.8
